16:52:08.576065 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
16:57:39.569096 2c:33:7a:00:16:7d > 34:97:f6:ad:0c:f0, ethertype IPv4 (0x0800), length 342: 192.168.10.242.68 > 192.168.11.1.67: BOOTP/DHCP, Request from 2c:33:7a:00:16:7d, length 300
16:57:39.638865 34:97:f6:ad:0c:f0 > 2c:33:7a:00:16:7d, ethertype IPv4 (0x0800), length 362: 192.168.11.1.67 > 192.168.10.242.68: BOOTP/DHCP, Reply, length 320
17:28:42.536862 10:4a:7d:83:30:a1 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 363: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 10:4a:7d:83:30:a1, length 321
17:44:28.933753 54:60:09:ea:e0:86 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 398: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 54:60:09:ea:e0:86, length 356
17:44:28.934479 54:60:09:ea:e0:86 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 410: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 54:60:09:ea:e0:86, length 368
17:52:08.511419 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
17:53:23.469176 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
17:59:31.806674 8c:85:90:80:2a:f8 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 8c:85:90:80:2a:f8, length 300
18:28:42.563925 10:4a:7d:83:30:a1 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 363: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 10:4a:7d:83:30:a1, length 321
18:52:08.541307 00:80:2f:14:08:73 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 192.168.11.68.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 00:80:2f:14:08:73, length 300
19:01:41.889075 8c:85:90:80:2a:f8 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 342: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 8c:85:90:80:2a:f8, length 300
19:28:42.596428 10:4a:7d:83:30:a1 > ff:ff:ff:ff:ff:ff, ethertype IPv4 (0x0800), length 363: 0.0.0.0.68 > 255.255.255.255.67: BOOTP/DHCP, Request from 10:4a:7d:83:30:a1, length 321
